Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
4370,No,No,Yes,Yes,NH,2018-06-08 19:13:00,DR,Coastal Storm,SEVERE STORM AND FLOODING,2018-03-02 09:35:22,2018-03-08 00:00:00,,99015.0,"Rockingham (County)(in (P)MSA 4160,4760,6450)",18016
4369,No,No,Yes,Yes,AK,2018-06-08 19:05:00,DR,Coastal Storm,SEVERE STORM,2017-12-04 00:00:00,2017-12-04 23:59:00,,99122.0,Kenai Peninsula (Borough),18005
4367,No,No,Yes,Yes,ME,2018-05-30 09:17:00,DR,Coastal Storm,SEVERE STORM AND FLOODING,2018-03-02 09:35:22,2018-03-08 00:00:00,,99031.0,"York (County)(in MSA 6400,6450)",18012
4244,No,No,Yes,Yes,AK,2015-10-30 17:44:00,DR,Coastal Storm,SEVERE STORM,2015-08-27 00:01:00,2015-08-27 23:59:00,,99185.0,North Slope (Borough),15085
4041,No,No,Yes,Yes,LA,2011-10-28 10:49:00,DR,Coastal Storm,TROPICAL STORM LEE,2011-09-01 00:00:00,2011-09-05 00:00:00,,99037.0,East Feliciana (Parish),11252
4041,No,No,Yes,Yes,LA,2011-10-28 10:49:00,DR,Coastal Storm,TROPICAL STORM LEE,2011-09-01 00:00:00,2011-09-05 00:00:00,,99051.0,Jefferson (Parish),11252
4041,No,No,Yes,Yes,LA,2011-10-28 10:49:00,DR,Coastal Storm,TROPICAL STORM LEE,2011-09-01 00:00:00,2011-09-05 00:00:00,,99057.0,Lafourche (Parish),11252
4041,No,No,Yes,Yes,LA,2011-10-28 10:49:00,DR,Coastal Storm,TROPICAL STORM LEE,2011-09-01 00:00:00,2011-09-05 00:00:00,,99075.0,Plaquemines (Parish),11252
4041,No,No,Yes,Yes,LA,2011-10-28 10:49:00,DR,Coastal Storm,TROPICAL STORM LEE,2011-09-01 00:00:00,2011-09-05 00:00:00,,99087.0,St. Bernard (Parish),11252
4041,No,No,Yes,Yes,LA,2011-10-28 10:49:00,DR,Coastal Storm,TROPICAL STORM LEE,2011-09-01 00:00:00,2011-09-05 00:00:00,,99089.0,St. Charles (Parish),11252
4041,No,No,Yes,Yes,LA,2011-10-28 10:49:00,DR,Coastal Storm,TROPICAL STORM LEE,2011-09-01 00:00:00,2011-09-05 00:00:00,,99109.0,Terrebonne (Parish),11252
4041,No,No,Yes,Yes,LA,2011-10-28 10:49:00,DR,Coastal Storm,TROPICAL STORM LEE,2011-09-01 00:00:00,2011-09-05 00:00:00,,99125.0,West Feliciana (Parish),11252
3247,No,No,Yes,No,ND,2005-09-13 13:34:00,EM,Coastal Storm,HURRICANE KATRINA EVACUATION,2005-08-29 10:00:00,2005-10-01 08:55:00,2008-09-30 00:00:00,99001.0,Adams (County),5126
