Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
3276,No,No,Yes,No,FM,2007-07-31 00:00:00,EM,Drought,DROUGHT,2007-03-05 00:00:00,2007-11-02 00:00:00,2012-08-22 00:00:00,99002.0,Chuuk (County-equivalent),7847
1213,No,No,Yes,No,FM,1998-04-03 00:00:00,DR,Drought,SEVERE DROUGHT,1998-01-25 00:00:00,1998-06-30 00:00:00,2010-01-20 00:00:00,99040.0,Pohnpei (County-equivalent),98228
1213,No,No,Yes,No,FM,1998-04-03 00:00:00,DR,Drought,SEVERE DROUGHT,1998-01-25 00:00:00,1998-06-30 00:00:00,2010-01-20 00:00:00,99050.0,Truk (County-equivalent),98228
1213,No,No,Yes,No,FM,1998-04-03 00:00:00,DR,Drought,SEVERE DROUGHT,1998-01-25 00:00:00,1998-06-30 00:00:00,2010-01-20 00:00:00,99060.0,Yap (County-equivalent),98228
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,10500.0,Ebeye,98026
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,99010.0,Ailinglaplap (County-equivalent),98026
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,99030.0,Ailuk (County-equivalent),98026
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,99040.0,Arno (County-equivalent),98026
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,99050.0,Aur (County-equivalent),98026
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,99070.0,Bikini (County-equivalent),98026
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,99080.0,Ebon (County-equivalent),98026
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,99090.0,Enewetak (County-equivalent),98026
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,99110.0,Jabat (County-equivalent),98026
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,99120.0,Jaluit (County-equivalent),98026
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,99140.0,Kili (County-equivalent),98026
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,99150.0,Kwajalein (County-equivalent),98026
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,99160.0,Lae (County-equivalent),98026
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,99170.0,Lib (County-equivalent),98026
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,99180.0,Likiep (County-equivalent),98026
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,99190.0,Majuro (County-equivalent),98026
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,99300.0,Maloelap (County-equivalent),98026
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,99310.0,Mejit (County-equivalent),98026
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,99320.0,Mili (County-equivalent),98026
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,99330.0,Namorik (County-equivalent),98026
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,99340.0,Namu (County-equivalent),98026
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,99390.0,Ujae (County-equivalent),98026
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,99410.0,Utrik (County-equivalent),98026
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,99420.0,Wotho (County-equivalent),98026
1210,No,No,Yes,No,MH,1998-03-20 00:00:00,DR,Drought,"DROUGHT, CROP LOSSES",1998-01-17 00:00:00,1998-06-30 00:00:00,2010-05-28 12:00:00,99430.0,Wotje (County-equivalent),98026
3113,No,No,Yes,Yes,TX,1993-09-10 00:00:00,EM,Drought,EXTREME FIRE HAZARD,1993-08-30 00:00:00,1993-11-15 00:00:00,1994-06-30 00:00:00,99001.0,Anderson (County),93043
3113,No,No,Yes,Yes,TX,1993-09-10 00:00:00,EM,Drought,EXTREME FIRE HAZARD,1993-08-30 00:00:00,1993-11-15 00:00:00,1994-06-30 00:00:00,99009.0,Archer (County),93043
3113,No,No,Yes,Yes,TX,1993-09-10 00:00:00,EM,Drought,EXTREME FIRE HAZARD,1993-08-30 00:00:00,1993-11-15 00:00:00,1994-06-30 00:00:00,99013.0,Atascosa (County),93043
3113,No,No,Yes,Yes,TX,1993-09-10 00:00:00,EM,Drought,EXTREME FIRE HAZARD,1993-08-30 00:00:00,1993-11-15 00:00:00,1994-06-30 00:00:00,99015.0,Austin (County),93043
3113,No,No,Yes,Yes,TX,1993-09-10 00:00:00,EM,Drought,EXTREME FIRE HAZARD,1993-08-30 00:00:00,1993-11-15 00:00:00,1994-06-30 00:00:00,99019.0,Bandera (County),93043
3113,No,No,Yes,Yes,TX,1993-09-10 00:00:00,EM,Drought,EXTREME FIRE HAZARD,1993-08-30 00:00:00,1993-11-15 00:00:00,1994-06-30 00:00:00,99021.0,Bastrop (County),93043
3113,No,No,Yes,Yes,TX,1993-09-10 00:00:00,EM,Drought,EXTREME FIRE HAZARD,1993-08-30 00:00:00,1993-11-15 00:00:00,1994-06-30 00:00:00,99023.0,Baylor (County),93043
3113,No,No,Yes,Yes,TX,1993-09-10 00:00:00,EM,Drought,EXTREME FIRE HAZARD,1993-08-30 00:00:00,1993-11-15 00:00:00,1994-06-30 00:00:00,99025.0,Bee (County),93043
3113,No,No,Yes,Yes,TX,1993-09-10 00:00:00,EM,Drought,EXTREME FIRE HAZARD,1993-08-30 00:00:00,1993-11-15 00:00:00,1994-06-30 00:00:00,99027.0,Bell (County),93043
3113,No,No,Yes,Yes,TX,1993-09-10 00:00:00,EM,Drought,EXTREME FIRE HAZARD,1993-08-30 00:00:00,1993-11-15 00:00:00,1994-06-30 00:00:00,99029.0,Bexar (County),93043
3113,No,No,Yes,Yes,TX,1993-09-10 00:00:00,EM,Drought,EXTREME FIRE HAZARD,1993-08-30 00:00:00,1993-11-15 00:00:00,1994-06-30 00:00:00,99031.0,Blanco (County),93043
3113,No,No,Yes,Yes,TX,1993-09-10 00:00:00,EM,Drought,EXTREME FIRE HAZARD,1993-08-30 00:00:00,1993-11-15 00:00:00,1994-06-30 00:00:00,99033.0,Borden (County),93043
3113,No,No,Yes,Yes,TX,1993-09-10 00:00:00,EM,Drought,EXTREME FIRE HAZARD,1993-08-30 00:00:00,1993-11-15 00:00:00,1994-06-30 00:00:00,99035.0,Bosque (County),93043
3113,No,No,Yes,Yes,TX,1993-09-10 00:00:00,EM,Drought,EXTREME FIRE HAZARD,1993-08-30 00:00:00,1993-11-15 00:00:00,1994-06-30 00:00:00,99041.0,Brazos (County),93043
3113,No,No,Yes,Yes,TX,1993-09-10 00:00:00,EM,Drought,EXTREME FIRE HAZARD,1993-08-30 00:00:00,1993-11-15 00:00:00,1994-06-30 00:00:00,99049.0,Brown (County),93043
