Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
4413,Yes,No,Yes,Yes,AK,2019-01-31 16:19:00,DR,Earthquake,EARTHQUAKE,2018-11-30 21:30:00,2018-11-30 23:59:00,,99020.0,Anchorage (Borough),19001
4413,Yes,No,Yes,Yes,AK,2019-01-31 16:19:00,DR,Earthquake,EARTHQUAKE,2018-11-30 21:30:00,2018-11-30 23:59:00,,99122.0,Kenai Peninsula (Borough),19001
4413,Yes,No,Yes,Yes,AK,2019-01-31 16:19:00,DR,Earthquake,EARTHQUAKE,2018-11-30 21:30:00,2018-11-30 23:59:00,,99170.0,Matanuska-Susitna (Borough),19001
3410,No,No,Yes,No,AK,2018-11-30 18:15:00,EM,Earthquake,EARTHQUAKE,2018-11-30 00:00:00,2018-11-30 23:59:00,,99020.0,Anchorage (Borough),18133
3410,No,No,Yes,No,AK,2018-11-30 18:15:00,EM,Earthquake,EARTHQUAKE,2018-11-30 00:00:00,2018-11-30 23:59:00,,99122.0,Kenai Peninsula (Borough),18133
3410,No,No,Yes,No,AK,2018-11-30 18:15:00,EM,Earthquake,EARTHQUAKE,2018-11-30 00:00:00,2018-11-30 23:59:00,,99170.0,Matanuska-Susitna (Borough),18133
4193,Yes,No,Yes,Yes,CA,2014-09-11 19:27:00,DR,Earthquake,EARTHQUAKE,2014-08-24 00:00:00,2014-09-07 23:59:00,,99055.0,Napa (County),14076
4193,Yes,No,Yes,Yes,CA,2014-09-11 19:27:00,DR,Earthquake,EARTHQUAKE,2014-08-24 00:00:00,2014-09-07 23:59:00,,99095.0,Solano (County),14076
4044,No,No,Yes,Yes,DC,2011-11-08 14:51:00,DR,Earthquake,EARTHQUAKE,2011-08-23 00:01:00,2011-08-28 23:59:00,,99001.0,District of Columbia (County-equivalent),11254
4042,Yes,No,Yes,Yes,VA,2011-11-04 17:58:00,DR,Earthquake,EARTHQUAKE,2011-08-23 13:51:00,2011-10-25 00:00:00,,29744.0,Fredericksburg,11246
4042,Yes,No,Yes,Yes,VA,2011-11-04 17:58:00,DR,Earthquake,EARTHQUAKE,2011-08-23 13:51:00,2011-10-25 00:00:00,,99003.0,Albemarle (County),11246
4042,Yes,No,Yes,Yes,VA,2011-11-04 17:58:00,DR,Earthquake,EARTHQUAKE,2011-08-23 13:51:00,2011-10-25 00:00:00,,99047.0,Culpeper (County),11246
