Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
4407,Yes,No,Yes,Yes,CA,2018-11-12 20:28:00,DR,Fire,WILDFIRES,2018-11-08 00:00:00,2018-11-25 23:59:00,,99007.0,Butte (County),18127
4407,Yes,No,Yes,Yes,CA,2018-11-12 20:28:00,DR,Fire,WILDFIRES,2018-11-08 00:00:00,2018-11-25 23:59:00,,99037.0,Los Angeles (County),18127
4407,Yes,No,Yes,Yes,CA,2018-11-12 20:28:00,DR,Fire,WILDFIRES,2018-11-08 00:00:00,2018-11-25 23:59:00,,99111.0,Ventura (County),18127
3409,No,No,Yes,No,CA,2018-11-09 16:50:00,EM,Fire,WILDFIRES,2018-11-08 00:00:00,2018-11-25 23:59:00,,99007.0,Butte (County),18126
3409,No,No,Yes,No,CA,2018-11-09 16:50:00,EM,Fire,WILDFIRES,2018-11-08 00:00:00,2018-11-25 23:59:00,,99037.0,Los Angeles (County),18126
3409,No,No,Yes,No,CA,2018-11-09 16:50:00,EM,Fire,WILDFIRES,2018-11-08 00:00:00,2018-11-25 23:59:00,,99111.0,Ventura (County),18126
4382,Yes,No,Yes,Yes,CA,2018-08-04 21:46:00,DR,Fire,WILDFIRES AND HIGH WINDS,2018-07-23 16:20:00,2018-09-19 23:59:00,,99033.0,Lake (County),18078
4382,Yes,No,Yes,Yes,CA,2018-08-04 21:46:00,DR,Fire,WILDFIRES AND HIGH WINDS,2018-07-23 16:20:00,2018-09-19 23:59:00,,99089.0,Shasta (County),18078
3398,No,No,Yes,No,CA,2018-07-28 09:40:00,EM,Fire,WILDFIRE,2018-07-23 16:20:00,,,99089.0,Shasta (County),18069
4373,No,No,Yes,Yes,OK,2018-06-25 09:21:00,DR,Fire,WILDFIRES,2018-04-11 14:25:00,2018-04-20 23:59:00,,99039.0,Custer (County),18034
4373,No,No,Yes,Yes,OK,2018-06-25 09:21:00,DR,Fire,WILDFIRES,2018-04-11 14:25:00,2018-04-20 23:59:00,,99043.0,Dewey (County),18034
4373,No,No,Yes,Yes,OK,2018-06-25 09:21:00,DR,Fire,WILDFIRES,2018-04-11 14:25:00,2018-04-20 23:59:00,,99057.0,Harmon (County),18034
4373,No,No,Yes,Yes,OK,2018-06-25 09:21:00,DR,Fire,WILDFIRES,2018-04-11 14:25:00,2018-04-20 23:59:00,,99129.0,Roger Mills (County),18034
4373,No,No,Yes,Yes,OK,2018-06-25 09:21:00,DR,Fire,WILDFIRES,2018-04-11 14:25:00,2018-04-20 23:59:00,,99153.0,Woodward (County),18034
4353,Yes,No,Yes,Yes,CA,2018-01-02 11:00:00,DR,Fire,"WILDFIRES, FLOODING, MUDFLOWS, AND DEBRIS FLOWS",2017-12-04 18:00:00,2018-01-31 23:59:00,,99037.0,Los Angeles (County),18001
4353,Yes,No,Yes,Yes,CA,2018-01-02 11:00:00,DR,Fire,"WILDFIRES, FLOODING, MUDFLOWS, AND DEBRIS FLOWS",2017-12-04 18:00:00,2018-01-31 23:59:00,,99073.0,San Diego (County),18001
4353,Yes,No,Yes,Yes,CA,2018-01-02 11:00:00,DR,Fire,"WILDFIRES, FLOODING, MUDFLOWS, AND DEBRIS FLOWS",2017-12-04 18:00:00,2018-01-31 23:59:00,,99083.0,Santa Barbara (County),18001
4353,Yes,No,Yes,Yes,CA,2018-01-02 11:00:00,DR,Fire,"WILDFIRES, FLOODING, MUDFLOWS, AND DEBRIS FLOWS",2017-12-04 18:00:00,2018-01-31 23:59:00,,99111.0,Ventura (County),18001
3396,No,No,Yes,No,CA,2017-12-08 10:00:00,EM,Fire,WILDFIRES,2017-12-04 18:00:00,2017-12-29 23:59:00,,99037.0,Los Angeles (County),17146
3396,No,No,Yes,No,CA,2017-12-08 10:00:00,EM,Fire,WILDFIRES,2017-12-04 18:00:00,2017-12-29 23:59:00,,99065.0,Riverside (County),17146
3396,No,No,Yes,No,CA,2017-12-08 10:00:00,EM,Fire,WILDFIRES,2017-12-04 18:00:00,2017-12-29 23:59:00,,99073.0,San Diego (County),17146
3396,No,No,Yes,No,CA,2017-12-08 10:00:00,EM,Fire,WILDFIRES,2017-12-04 18:00:00,2017-12-29 23:59:00,,99083.0,Santa Barbara (County),17146
3396,No,No,Yes,No,CA,2017-12-08 10:00:00,EM,Fire,WILDFIRES,2017-12-04 18:00:00,2017-12-29 23:59:00,,99111.0,Ventura (County),17146
4344,Yes,No,Yes,Yes,CA,2017-10-10 12:40:00,DR,Fire,WILDFIRES,2017-10-08 02:30:00,2017-10-31 23:59:00,,99007.0,Butte (County),17125
4344,Yes,No,Yes,Yes,CA,2017-10-10 12:40:00,DR,Fire,WILDFIRES,2017-10-08 02:30:00,2017-10-31 23:59:00,,99033.0,Lake (County),17125
4344,Yes,No,Yes,Yes,CA,2017-10-10 12:40:00,DR,Fire,WILDFIRES,2017-10-08 02:30:00,2017-10-31 23:59:00,,99045.0,Mendocino (County),17125
4344,Yes,No,Yes,Yes,CA,2017-10-10 12:40:00,DR,Fire,WILDFIRES,2017-10-08 02:30:00,2017-10-31 23:59:00,,99055.0,Napa (County),17125
4344,Yes,No,Yes,Yes,CA,2017-10-10 12:40:00,DR,Fire,WILDFIRES,2017-10-08 02:30:00,2017-10-31 23:59:00,,99057.0,Nevada (County),17125
4344,Yes,No,Yes,Yes,CA,2017-10-10 12:40:00,DR,Fire,WILDFIRES,2017-10-08 02:30:00,2017-10-31 23:59:00,,99059.0,Orange (County),17125
4344,Yes,No,Yes,Yes,CA,2017-10-10 12:40:00,DR,Fire,WILDFIRES,2017-10-08 02:30:00,2017-10-31 23:59:00,,99095.0,Solano (County),17125
4344,Yes,No,Yes,Yes,CA,2017-10-10 12:40:00,DR,Fire,WILDFIRES,2017-10-08 02:30:00,2017-10-31 23:59:00,,99097.0,Sonoma (County),17125
4344,Yes,No,Yes,Yes,CA,2017-10-10 12:40:00,DR,Fire,WILDFIRES,2017-10-08 02:30:00,2017-10-31 23:59:00,,99115.0,Yuba (County),17125
4293,Yes,No,Yes,Yes,TN,2016-12-15 18:00:00,DR,Fire,WILDFIRES,2016-11-28 00:01:00,2016-12-09 00:01:00,,99155.0,Sevier (County),16125
