Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99009.0,Archer (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99023.0,Baylor (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99049.0,Brown (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99053.0,Burnet (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99059.0,Callahan (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99093.0,Comanche (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99099.0,Coryell (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99127.0,Dimmit (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99137.0,Edwards (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99147.0,Fannin (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99159.0,Franklin (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99185.0,Grimes (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99207.0,Haskell (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99217.0,Hill (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99223.0,Hopkins (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99225.0,Houston (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99253.0,Jones (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99267.0,Kimble (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99271.0,Kinney (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99275.0,Knox (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99299.0,Llano (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99307.0,McCulloch (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99313.0,Madison (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99319.0,Mason (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99327.0,Menard (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99353.0,Nolan (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99385.0,Real (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99411.0,San Saba (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99435.0,Sutton (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99447.0,Throckmorton (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99453.0,Travis (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99463.0,Uvalde (County),19002
4416,No,No,Yes,Yes,TX,2019-02-25 11:25:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-09-10 08:55:00,2018-11-02 23:59:00,,99465.0,Val Verde (County),19002
4414,No,No,Yes,Yes,MN,2019-02-01 11:00:00,DR,Flood,SEVERE STORMS AND FLOODING,2018-10-09 00:00:00,2018-10-11 23:59:00,,99137.0,St. Louis (County),18132
4405,No,No,Yes,Yes,MT,2018-10-31 06:53:00,DR,Flood,FLOODING,2018-05-01 00:00:01,2018-06-10 00:00:01,,99009.0,Carbon (County),18121
4405,No,No,Yes,Yes,MT,2018-10-31 06:53:00,DR,Flood,FLOODING,2018-05-01 00:00:01,2018-06-10 00:00:01,,99017.0,Custer (County),18121
4405,No,No,Yes,Yes,MT,2018-10-31 06:53:00,DR,Flood,FLOODING,2018-05-01 00:00:01,2018-06-10 00:00:01,,99037.0,Golden Valley (County),18121
4405,No,No,Yes,Yes,MT,2018-10-31 06:53:00,DR,Flood,FLOODING,2018-05-01 00:00:01,2018-06-10 00:00:01,,99049.0,Lewis and Clark (County),18121
4405,No,No,Yes,Yes,MT,2018-10-31 06:53:00,DR,Flood,FLOODING,2018-05-01 00:00:01,2018-06-10 00:00:01,,99063.0,Missoula (County),18121
4405,No,No,Yes,Yes,MT,2018-10-31 06:53:00,DR,Flood,FLOODING,2018-05-01 00:00:01,2018-06-10 00:00:01,,99065.0,Musselshell (County),18121
