Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
4104,No,No,Yes,Yes,AZ,2013-03-05 14:00:00,DR,Freezing,SEVERE FREEZE,2012-12-15 00:00:00,2013-01-21 09:00:00,,48845.0,Navajo Nation Reservation (Also NM and UT),13006
1689,No,Yes,No,Yes,CA,2007-03-13 22:20:00,DR,Freezing,SEVERE FREEZE,2007-01-11 11:35:00,2007-01-17 00:00:00,2014-01-08 00:00:00,99019.0,Fresno (County),7795
1689,No,Yes,No,Yes,CA,2007-03-13 22:20:00,DR,Freezing,SEVERE FREEZE,2007-01-11 11:35:00,2007-01-17 00:00:00,2014-01-08 00:00:00,99025.0,Imperial (County),7795
1689,No,Yes,No,Yes,CA,2007-03-13 22:20:00,DR,Freezing,SEVERE FREEZE,2007-01-11 11:35:00,2007-01-17 00:00:00,2014-01-08 00:00:00,99029.0,Kern (County),7795
1689,No,Yes,No,Yes,CA,2007-03-13 22:20:00,DR,Freezing,SEVERE FREEZE,2007-01-11 11:35:00,2007-01-17 00:00:00,2014-01-08 00:00:00,99031.0,Kings (County),7795
1689,No,Yes,No,Yes,CA,2007-03-13 22:20:00,DR,Freezing,SEVERE FREEZE,2007-01-11 11:35:00,2007-01-17 00:00:00,2014-01-08 00:00:00,99037.0,Los Angeles (County),7795
1689,No,Yes,No,Yes,CA,2007-03-13 22:20:00,DR,Freezing,SEVERE FREEZE,2007-01-11 11:35:00,2007-01-17 00:00:00,2014-01-08 00:00:00,99039.0,Madera (County),7795
1689,No,Yes,No,Yes,CA,2007-03-13 22:20:00,DR,Freezing,SEVERE FREEZE,2007-01-11 11:35:00,2007-01-17 00:00:00,2014-01-08 00:00:00,99047.0,Merced (County),7795
1689,No,Yes,No,Yes,CA,2007-03-13 22:20:00,DR,Freezing,SEVERE FREEZE,2007-01-11 11:35:00,2007-01-17 00:00:00,2014-01-08 00:00:00,99053.0,Monterey (County),7795
1689,No,Yes,No,Yes,CA,2007-03-13 22:20:00,DR,Freezing,SEVERE FREEZE,2007-01-11 11:35:00,2007-01-17 00:00:00,2014-01-08 00:00:00,99065.0,Riverside (County),7795
1689,No,Yes,No,Yes,CA,2007-03-13 22:20:00,DR,Freezing,SEVERE FREEZE,2007-01-11 11:35:00,2007-01-17 00:00:00,2014-01-08 00:00:00,99071.0,San Bernardino (County),7795
1689,No,Yes,No,Yes,CA,2007-03-13 22:20:00,DR,Freezing,SEVERE FREEZE,2007-01-11 11:35:00,2007-01-17 00:00:00,2014-01-08 00:00:00,99073.0,San Diego (County),7795
1689,No,Yes,No,Yes,CA,2007-03-13 22:20:00,DR,Freezing,SEVERE FREEZE,2007-01-11 11:35:00,2007-01-17 00:00:00,2014-01-08 00:00:00,99079.0,San Luis Obispo (County),7795
1689,No,Yes,No,Yes,CA,2007-03-13 22:20:00,DR,Freezing,SEVERE FREEZE,2007-01-11 11:35:00,2007-01-17 00:00:00,2014-01-08 00:00:00,99083.0,Santa Barbara (County),7795
1689,No,Yes,No,Yes,CA,2007-03-13 22:20:00,DR,Freezing,SEVERE FREEZE,2007-01-11 11:35:00,2007-01-17 00:00:00,2014-01-08 00:00:00,99099.0,Stanislaus (County),7795
1689,No,Yes,No,Yes,CA,2007-03-13 22:20:00,DR,Freezing,SEVERE FREEZE,2007-01-11 11:35:00,2007-01-17 00:00:00,2014-01-08 00:00:00,99107.0,Tulare (County),7795
1689,No,Yes,No,Yes,CA,2007-03-13 22:20:00,DR,Freezing,SEVERE FREEZE,2007-01-11 11:35:00,2007-01-17 00:00:00,2014-01-08 00:00:00,99111.0,Ventura (County),7795
1468,No,No,Yes,Yes,ME,2003-05-14 17:32:00,DR,Freezing,SEVERE WINTER COLD AND FROST,2002-12-17 00:01:00,2003-06-01 00:00:00,2010-08-19 00:00:00,99001.0,Androscoggin (County),3035
1468,No,No,Yes,Yes,ME,2003-05-14 17:32:00,DR,Freezing,SEVERE WINTER COLD AND FROST,2002-12-17 00:01:00,2003-06-01 00:00:00,2010-08-19 00:00:00,99003.0,Aroostook (County),3035
1468,No,No,Yes,Yes,ME,2003-05-14 17:32:00,DR,Freezing,SEVERE WINTER COLD AND FROST,2002-12-17 00:01:00,2003-06-01 00:00:00,2010-08-19 00:00:00,99005.0,Cumberland (County),3035
1468,No,No,Yes,Yes,ME,2003-05-14 17:32:00,DR,Freezing,SEVERE WINTER COLD AND FROST,2002-12-17 00:01:00,2003-06-01 00:00:00,2010-08-19 00:00:00,99007.0,Franklin (County),3035
1468,No,No,Yes,Yes,ME,2003-05-14 17:32:00,DR,Freezing,SEVERE WINTER COLD AND FROST,2002-12-17 00:01:00,2003-06-01 00:00:00,2010-08-19 00:00:00,99009.0,Hancock (County),3035
1468,No,No,Yes,Yes,ME,2003-05-14 17:32:00,DR,Freezing,SEVERE WINTER COLD AND FROST,2002-12-17 00:01:00,2003-06-01 00:00:00,2010-08-19 00:00:00,99011.0,Kennebec (County),3035
1468,No,No,Yes,Yes,ME,2003-05-14 17:32:00,DR,Freezing,SEVERE WINTER COLD AND FROST,2002-12-17 00:01:00,2003-06-01 00:00:00,2010-08-19 00:00:00,99015.0,Lincoln (County),3035
1468,No,No,Yes,Yes,ME,2003-05-14 17:32:00,DR,Freezing,SEVERE WINTER COLD AND FROST,2002-12-17 00:01:00,2003-06-01 00:00:00,2010-08-19 00:00:00,99017.0,Oxford (County),3035
1468,No,No,Yes,Yes,ME,2003-05-14 17:32:00,DR,Freezing,SEVERE WINTER COLD AND FROST,2002-12-17 00:01:00,2003-06-01 00:00:00,2010-08-19 00:00:00,99019.0,Penobscot (County),3035
1468,No,No,Yes,Yes,ME,2003-05-14 17:32:00,DR,Freezing,SEVERE WINTER COLD AND FROST,2002-12-17 00:01:00,2003-06-01 00:00:00,2010-08-19 00:00:00,99021.0,Piscataquis (County),3035
1468,No,No,Yes,Yes,ME,2003-05-14 17:32:00,DR,Freezing,SEVERE WINTER COLD AND FROST,2002-12-17 00:01:00,2003-06-01 00:00:00,2010-08-19 00:00:00,99029.0,Washington (County),3035
1359,No,Yes,No,Yes,FL,2001-02-05 17:32:00,DR,Freezing,SEVERE FREEZE ,2000-12-01 00:00:00,2001-01-25 00:00:00,2010-05-14 00:00:00,99001.0,Alachua (County),1009
1359,No,Yes,No,Yes,FL,2001-02-05 17:32:00,DR,Freezing,SEVERE FREEZE ,2000-12-01 00:00:00,2001-01-25 00:00:00,2010-05-14 00:00:00,99003.0,Baker (County),1009
1359,No,Yes,No,Yes,FL,2001-02-05 17:32:00,DR,Freezing,SEVERE FREEZE ,2000-12-01 00:00:00,2001-01-25 00:00:00,2010-05-14 00:00:00,99007.0,Bradford (County),1009
1359,No,Yes,No,Yes,FL,2001-02-05 17:32:00,DR,Freezing,SEVERE FREEZE ,2000-12-01 00:00:00,2001-01-25 00:00:00,2010-05-14 00:00:00,99009.0,Brevard (County),1009
1359,No,Yes,No,Yes,FL,2001-02-05 17:32:00,DR,Freezing,SEVERE FREEZE ,2000-12-01 00:00:00,2001-01-25 00:00:00,2010-05-14 00:00:00,99011.0,Broward (County),1009
1359,No,Yes,No,Yes,FL,2001-02-05 17:32:00,DR,Freezing,SEVERE FREEZE ,2000-12-01 00:00:00,2001-01-25 00:00:00,2010-05-14 00:00:00,99015.0,Charlotte (County),1009
1359,No,Yes,No,Yes,FL,2001-02-05 17:32:00,DR,Freezing,SEVERE FREEZE ,2000-12-01 00:00:00,2001-01-25 00:00:00,2010-05-14 00:00:00,99017.0,Citrus (County),1009
