Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
4412,No,No,Yes,Yes,NC,2019-01-31 16:30:00,DR,Hurricane,TROPICAL STORM MICHAEL,2018-10-10 08:38:18,2018-10-12 23:59:00,,99001.0,Alamance (County),18135
4412,No,No,Yes,Yes,NC,2019-01-31 16:30:00,DR,Hurricane,TROPICAL STORM MICHAEL,2018-10-10 08:38:18,2018-10-12 23:59:00,,99019.0,Brunswick (County),18135
4412,No,No,Yes,Yes,NC,2019-01-31 16:30:00,DR,Hurricane,TROPICAL STORM MICHAEL,2018-10-10 08:38:18,2018-10-12 23:59:00,,99033.0,Caswell (County),18135
4412,No,No,Yes,Yes,NC,2019-01-31 16:30:00,DR,Hurricane,TROPICAL STORM MICHAEL,2018-10-10 08:38:18,2018-10-12 23:59:00,,99037.0,Chatham (County),18135
4412,No,No,Yes,Yes,NC,2019-01-31 16:30:00,DR,Hurricane,TROPICAL STORM MICHAEL,2018-10-10 08:38:18,2018-10-12 23:59:00,,99055.0,Dare (County),18135
4412,No,No,Yes,Yes,NC,2019-01-31 16:30:00,DR,Hurricane,TROPICAL STORM MICHAEL,2018-10-10 08:38:18,2018-10-12 23:59:00,,99057.0,Davidson (County),18135
4412,No,No,Yes,Yes,NC,2019-01-31 16:30:00,DR,Hurricane,TROPICAL STORM MICHAEL,2018-10-10 08:38:18,2018-10-12 23:59:00,,99059.0,Davie (County),18135
4412,No,No,Yes,Yes,NC,2019-01-31 16:30:00,DR,Hurricane,TROPICAL STORM MICHAEL,2018-10-10 08:38:18,2018-10-12 23:59:00,,99067.0,Forsyth (County),18135
4412,No,No,Yes,Yes,NC,2019-01-31 16:30:00,DR,Hurricane,TROPICAL STORM MICHAEL,2018-10-10 08:38:18,2018-10-12 23:59:00,,99077.0,Granville (County),18135
4412,No,No,Yes,Yes,NC,2019-01-31 16:30:00,DR,Hurricane,TROPICAL STORM MICHAEL,2018-10-10 08:38:18,2018-10-12 23:59:00,,99095.0,Hyde (County),18135
4412,No,No,Yes,Yes,NC,2019-01-31 16:30:00,DR,Hurricane,TROPICAL STORM MICHAEL,2018-10-10 08:38:18,2018-10-12 23:59:00,,99097.0,Iredell (County),18135
4412,No,No,Yes,Yes,NC,2019-01-31 16:30:00,DR,Hurricane,TROPICAL STORM MICHAEL,2018-10-10 08:38:18,2018-10-12 23:59:00,,99111.0,McDowell (County),18135
4412,No,No,Yes,Yes,NC,2019-01-31 16:30:00,DR,Hurricane,TROPICAL STORM MICHAEL,2018-10-10 08:38:18,2018-10-12 23:59:00,,99123.0,Montgomery (County),18135
4412,No,No,Yes,Yes,NC,2019-01-31 16:30:00,DR,Hurricane,TROPICAL STORM MICHAEL,2018-10-10 08:38:18,2018-10-12 23:59:00,,99135.0,Orange (County),18135
4412,No,No,Yes,Yes,NC,2019-01-31 16:30:00,DR,Hurricane,TROPICAL STORM MICHAEL,2018-10-10 08:38:18,2018-10-12 23:59:00,,99145.0,Person (County),18135
4412,No,No,Yes,Yes,NC,2019-01-31 16:30:00,DR,Hurricane,TROPICAL STORM MICHAEL,2018-10-10 08:38:18,2018-10-12 23:59:00,,99151.0,Randolph (County),18135
4412,No,No,Yes,Yes,NC,2019-01-31 16:30:00,DR,Hurricane,TROPICAL STORM MICHAEL,2018-10-10 08:38:18,2018-10-12 23:59:00,,99157.0,Rockingham (County),18135
4412,No,No,Yes,Yes,NC,2019-01-31 16:30:00,DR,Hurricane,TROPICAL STORM MICHAEL,2018-10-10 08:38:18,2018-10-12 23:59:00,,99169.0,Stokes (County),18135
