Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
4136,No,No,Yes,Yes,TX,2013-08-02 09:10:00,DR,Other,EXPLOSION,2013-04-17 00:00:00,2013-04-20 00:00:00,,99309.0,McLennan (County),13025
3363,Yes,No,Yes,No,TX,2013-04-19 20:15:00,EM,Other,EXPLOSION,2013-04-17 20:00:00,2013-04-20 00:00:00,2015-10-28 23:59:00,99309.0,McLennan (County),13015
3312,No,No,Yes,No,MA,2010-05-03 11:27:00,EM,Other,WATER MAIN BREAK,2010-05-01 10:30:00,2010-05-05 00:00:00,2012-11-06 00:00:00,99009.0,"Essex (County)(in PMSA 1120,4160,7090)",10052
3312,No,No,Yes,No,MA,2010-05-03 11:27:00,EM,Other,WATER MAIN BREAK,2010-05-01 10:30:00,2010-05-05 00:00:00,2012-11-06 00:00:00,99017.0,"Middlesex (County)(in (P)MSA 1120,2600,4560)",10052
3312,No,No,Yes,No,MA,2010-05-03 11:27:00,EM,Other,WATER MAIN BREAK,2010-05-01 10:30:00,2010-05-05 00:00:00,2012-11-06 00:00:00,99021.0,"Norfolk (County)(in PMSA 1120,1200,6060)",10052
3312,No,No,Yes,No,MA,2010-05-03 11:27:00,EM,Other,WATER MAIN BREAK,2010-05-01 10:30:00,2010-05-05 00:00:00,2012-11-06 00:00:00,99025.0,Suffolk (County),10052
3300,No,No,Yes,No,DC,2009-01-13 14:00:00,EM,Other,56TH PRESIDENTIAL INAUGURATION,2009-01-17 00:00:00,2009-01-21 00:00:00,2012-01-30 00:00:00,99001.0,District of Columbia (County-equivalent),9005
3278,No,No,Yes,No,MN,2007-08-21 11:20:00,EM,Other,BRIDGE COLLAPSE,2007-08-01 18:07:00,2007-08-15 00:00:00,2012-03-14 00:00:00,99053.0,Hennepin (County),7890
3187,No,No,Yes,No,OH,2003-09-23 00:00:00,EM,Other,POWER OUTAGE,2003-08-14 15:00:00,2003-08-17 12:00:00,2009-09-18 00:00:00,99005.0,Ashland (County),3096
3187,No,No,Yes,No,OH,2003-09-23 00:00:00,EM,Other,POWER OUTAGE,2003-08-14 15:00:00,2003-08-17 12:00:00,2009-09-18 00:00:00,99007.0,Ashtabula (County),3096
3187,No,No,Yes,No,OH,2003-09-23 00:00:00,EM,Other,POWER OUTAGE,2003-08-14 15:00:00,2003-08-17 12:00:00,2009-09-18 00:00:00,99035.0,Cuyahoga (County),3096
3187,No,No,Yes,No,OH,2003-09-23 00:00:00,EM,Other,POWER OUTAGE,2003-08-14 15:00:00,2003-08-17 12:00:00,2009-09-18 00:00:00,99043.0,Erie (County),3096
3187,No,No,Yes,No,OH,2003-09-23 00:00:00,EM,Other,POWER OUTAGE,2003-08-14 15:00:00,2003-08-17 12:00:00,2009-09-18 00:00:00,99055.0,Geauga (County),3096
3187,No,No,Yes,No,OH,2003-09-23 00:00:00,EM,Other,POWER OUTAGE,2003-08-14 15:00:00,2003-08-17 12:00:00,2009-09-18 00:00:00,99077.0,Huron (County),3096
