Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
4304,No,No,Yes,Yes,KS,2017-02-24 09:50:00,DR,Severe Ice Storm,SEVERE WINTER STORM,2017-01-13 06:00:00,2017-01-16 06:00:00,,99009.0,Barton (County),17016
4304,No,No,Yes,Yes,KS,2017-02-24 09:50:00,DR,Severe Ice Storm,SEVERE WINTER STORM,2017-01-13 06:00:00,2017-01-16 06:00:00,,99025.0,Clark (County),17016
4304,No,No,Yes,Yes,KS,2017-02-24 09:50:00,DR,Severe Ice Storm,SEVERE WINTER STORM,2017-01-13 06:00:00,2017-01-16 06:00:00,,99033.0,Comanche (County),17016
4304,No,No,Yes,Yes,KS,2017-02-24 09:50:00,DR,Severe Ice Storm,SEVERE WINTER STORM,2017-01-13 06:00:00,2017-01-16 06:00:00,,99047.0,Edwards (County),17016
4304,No,No,Yes,Yes,KS,2017-02-24 09:50:00,DR,Severe Ice Storm,SEVERE WINTER STORM,2017-01-13 06:00:00,2017-01-16 06:00:00,,99053.0,Ellsworth (County),17016
4304,No,No,Yes,Yes,KS,2017-02-24 09:50:00,DR,Severe Ice Storm,SEVERE WINTER STORM,2017-01-13 06:00:00,2017-01-16 06:00:00,,99057.0,Ford (County),17016
4304,No,No,Yes,Yes,KS,2017-02-24 09:50:00,DR,Severe Ice Storm,SEVERE WINTER STORM,2017-01-13 06:00:00,2017-01-16 06:00:00,,99083.0,Hodgeman (County),17016
4304,No,No,Yes,Yes,KS,2017-02-24 09:50:00,DR,Severe Ice Storm,SEVERE WINTER STORM,2017-01-13 06:00:00,2017-01-16 06:00:00,,99089.0,Jewell (County),17016
4304,No,No,Yes,Yes,KS,2017-02-24 09:50:00,DR,Severe Ice Storm,SEVERE WINTER STORM,2017-01-13 06:00:00,2017-01-16 06:00:00,,99097.0,Kiowa (County),17016
4304,No,No,Yes,Yes,KS,2017-02-24 09:50:00,DR,Severe Ice Storm,SEVERE WINTER STORM,2017-01-13 06:00:00,2017-01-16 06:00:00,,99119.0,Meade (County),17016
4304,No,No,Yes,Yes,KS,2017-02-24 09:50:00,DR,Severe Ice Storm,SEVERE WINTER STORM,2017-01-13 06:00:00,2017-01-16 06:00:00,,99135.0,Ness (County),17016
4304,No,No,Yes,Yes,KS,2017-02-24 09:50:00,DR,Severe Ice Storm,SEVERE WINTER STORM,2017-01-13 06:00:00,2017-01-16 06:00:00,,99145.0,Pawnee (County),17016
4304,No,No,Yes,Yes,KS,2017-02-24 09:50:00,DR,Severe Ice Storm,SEVERE WINTER STORM,2017-01-13 06:00:00,2017-01-16 06:00:00,,99151.0,Pratt (County),17016
4304,No,No,Yes,Yes,KS,2017-02-24 09:50:00,DR,Severe Ice Storm,SEVERE WINTER STORM,2017-01-13 06:00:00,2017-01-16 06:00:00,,99159.0,Rice (County),17016
4304,No,No,Yes,Yes,KS,2017-02-24 09:50:00,DR,Severe Ice Storm,SEVERE WINTER STORM,2017-01-13 06:00:00,2017-01-16 06:00:00,,99165.0,Rush (County),17016
4304,No,No,Yes,Yes,KS,2017-02-24 09:50:00,DR,Severe Ice Storm,SEVERE WINTER STORM,2017-01-13 06:00:00,2017-01-16 06:00:00,,99167.0,Russell (County),17016
4304,No,No,Yes,Yes,KS,2017-02-24 09:50:00,DR,Severe Ice Storm,SEVERE WINTER STORM,2017-01-13 06:00:00,2017-01-16 06:00:00,,99175.0,Seward (County),17016
4304,No,No,Yes,Yes,KS,2017-02-24 09:50:00,DR,Severe Ice Storm,SEVERE WINTER STORM,2017-01-13 06:00:00,2017-01-16 06:00:00,,99179.0,Sheridan (County),17016
4304,No,No,Yes,Yes,KS,2017-02-24 09:50:00,DR,Severe Ice Storm,SEVERE WINTER STORM,2017-01-13 06:00:00,2017-01-16 06:00:00,,99185.0,Stafford (County),17016
4304,No,No,Yes,Yes,KS,2017-02-24 09:50:00,DR,Severe Ice Storm,SEVERE WINTER STORM,2017-01-13 06:00:00,2017-01-16 06:00:00,,99195.0,Trego (County),17016
4247,No,No,Yes,Yes,OK,2015-12-29 18:00:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015-11-27 00:00:00,2015-11-29 00:00:00,,99003.0,Alfalfa (County),15092
4247,No,No,Yes,Yes,OK,2015-12-29 18:00:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015-11-27 00:00:00,2015-11-29 00:00:00,,99009.0,Beckham (County),15092
4247,No,No,Yes,Yes,OK,2015-12-29 18:00:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015-11-27 00:00:00,2015-11-29 00:00:00,,99011.0,Blaine (County),15092
4247,No,No,Yes,Yes,OK,2015-12-29 18:00:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015-11-27 00:00:00,2015-11-29 00:00:00,,99013.0,Bryan (County),15092
4247,No,No,Yes,Yes,OK,2015-12-29 18:00:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015-11-27 00:00:00,2015-11-29 00:00:00,,99015.0,Caddo (County),15092
4247,No,No,Yes,Yes,OK,2015-12-29 18:00:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015-11-27 00:00:00,2015-11-29 00:00:00,,99017.0,Canadian (County),15092
4247,No,No,Yes,Yes,OK,2015-12-29 18:00:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015-11-27 00:00:00,2015-11-29 00:00:00,,99039.0,Custer (County),15092
4247,No,No,Yes,Yes,OK,2015-12-29 18:00:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015-11-27 00:00:00,2015-11-29 00:00:00,,99043.0,Dewey (County),15092
4247,No,No,Yes,Yes,OK,2015-12-29 18:00:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015-11-27 00:00:00,2015-11-29 00:00:00,,99045.0,Ellis (County),15092
4247,No,No,Yes,Yes,OK,2015-12-29 18:00:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015-11-27 00:00:00,2015-11-29 00:00:00,,99047.0,Garfield (County),15092
4247,No,No,Yes,Yes,OK,2015-12-29 18:00:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015-11-27 00:00:00,2015-11-29 00:00:00,,99051.0,Grady (County),15092
4247,No,No,Yes,Yes,OK,2015-12-29 18:00:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015-11-27 00:00:00,2015-11-29 00:00:00,,99053.0,Grant (County),15092
4247,No,No,Yes,Yes,OK,2015-12-29 18:00:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015-11-27 00:00:00,2015-11-29 00:00:00,,99055.0,Greer (County),15092
4247,No,No,Yes,Yes,OK,2015-12-29 18:00:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015-11-27 00:00:00,2015-11-29 00:00:00,,99073.0,Kingfisher (County),15092
4247,No,No,Yes,Yes,OK,2015-12-29 18:00:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015-11-27 00:00:00,2015-11-29 00:00:00,,99075.0,Kiowa (County),15092
4247,No,No,Yes,Yes,OK,2015-12-29 18:00:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015-11-27 00:00:00,2015-11-29 00:00:00,,99083.0,Logan (County),15092
4247,No,No,Yes,Yes,OK,2015-12-29 18:00:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015-11-27 00:00:00,2015-11-29 00:00:00,,99093.0,Major (County),15092
4247,No,No,Yes,Yes,OK,2015-12-29 18:00:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015-11-27 00:00:00,2015-11-29 00:00:00,,99109.0,Oklahoma (County),15092
4247,No,No,Yes,Yes,OK,2015-12-29 18:00:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015-11-27 00:00:00,2015-11-29 00:00:00,,99129.0,Roger Mills (County),15092
4247,No,No,Yes,Yes,OK,2015-12-29 18:00:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015-11-27 00:00:00,2015-11-29 00:00:00,,99149.0,Washita (County),15092
4247,No,No,Yes,Yes,OK,2015-12-29 18:00:00,DR,Severe Ice Storm,SEVERE WINTER STORMS AND FLOODING,2015-11-27 00:00:00,2015-11-29 00:00:00,,99151.0,Woods (County),15092
4215,No,No,Yes,Yes,GA,2015-04-20 12:40:00,DR,Severe Ice Storm,SEVERE WINTER STORM ,2015-02-15 00:01:00,2015-02-17 23:59:00,,99011.0,Banks (County),15012
4215,No,No,Yes,Yes,GA,2015-04-20 12:40:00,DR,Severe Ice Storm,SEVERE WINTER STORM ,2015-02-15 00:01:00,2015-02-17 23:59:00,,99013.0,Barrow (County),15012
4215,No,No,Yes,Yes,GA,2015-04-20 12:40:00,DR,Severe Ice Storm,SEVERE WINTER STORM ,2015-02-15 00:01:00,2015-02-17 23:59:00,,99085.0,Dawson (County),15012
4215,No,No,Yes,Yes,GA,2015-04-20 12:40:00,DR,Severe Ice Storm,SEVERE WINTER STORM ,2015-02-15 00:01:00,2015-02-17 23:59:00,,99105.0,Elbert (County),15012
4215,No,No,Yes,Yes,GA,2015-04-20 12:40:00,DR,Severe Ice Storm,SEVERE WINTER STORM ,2015-02-15 00:01:00,2015-02-17 23:59:00,,99117.0,Forsyth (County),15012
4215,No,No,Yes,Yes,GA,2015-04-20 12:40:00,DR,Severe Ice Storm,SEVERE WINTER STORM ,2015-02-15 00:01:00,2015-02-17 23:59:00,,99119.0,Franklin (County),15012
4215,No,No,Yes,Yes,GA,2015-04-20 12:40:00,DR,Severe Ice Storm,SEVERE WINTER STORM ,2015-02-15 00:01:00,2015-02-17 23:59:00,,99137.0,Habersham (County),15012
4215,No,No,Yes,Yes,GA,2015-04-20 12:40:00,DR,Severe Ice Storm,SEVERE WINTER STORM ,2015-02-15 00:01:00,2015-02-17 23:59:00,,99139.0,Hall (County),15012
4215,No,No,Yes,Yes,GA,2015-04-20 12:40:00,DR,Severe Ice Storm,SEVERE WINTER STORM ,2015-02-15 00:01:00,2015-02-17 23:59:00,,99147.0,Hart (County),15012
4215,No,No,Yes,Yes,GA,2015-04-20 12:40:00,DR,Severe Ice Storm,SEVERE WINTER STORM ,2015-02-15 00:01:00,2015-02-17 23:59:00,,99157.0,Jackson (County),15012
4215,No,No,Yes,Yes,GA,2015-04-20 12:40:00,DR,Severe Ice Storm,SEVERE WINTER STORM ,2015-02-15 00:01:00,2015-02-17 23:59:00,,99187.0,Lumpkin (County),15012
