Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
4418,No,No,Yes,Yes,WA,2019-03-04 14:38:00,DR,Severe Storm(s),"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, TORNADO",2018-12-10 00:00:00,2018-12-24 00:00:00,,99009.0,Clallam (County),19005
4418,No,No,Yes,Yes,WA,2019-03-04 14:38:00,DR,Severe Storm(s),"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, TORNADO",2018-12-10 00:00:00,2018-12-24 00:00:00,,99027.0,Grays Harbor (County),19005
4418,No,No,Yes,Yes,WA,2019-03-04 14:38:00,DR,Severe Storm(s),"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, TORNADO",2018-12-10 00:00:00,2018-12-24 00:00:00,,99029.0,Island (County),19005
4418,No,No,Yes,Yes,WA,2019-03-04 14:38:00,DR,Severe Storm(s),"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, TORNADO",2018-12-10 00:00:00,2018-12-24 00:00:00,,99031.0,Jefferson (County),19005
4418,No,No,Yes,Yes,WA,2019-03-04 14:38:00,DR,Severe Storm(s),"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, TORNADO",2018-12-10 00:00:00,2018-12-24 00:00:00,,99045.0,Mason (County),19005
4418,No,No,Yes,Yes,WA,2019-03-04 14:38:00,DR,Severe Storm(s),"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, TORNADO",2018-12-10 00:00:00,2018-12-24 00:00:00,,99049.0,Pacific (County),19005
4418,No,No,Yes,Yes,WA,2019-03-04 14:38:00,DR,Severe Storm(s),"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, TORNADO",2018-12-10 00:00:00,2018-12-24 00:00:00,,99061.0,Snohomish (County),19005
4418,No,No,Yes,Yes,WA,2019-03-04 14:38:00,DR,Severe Storm(s),"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, TORNADO",2018-12-10 00:00:00,2018-12-24 00:00:00,,99073.0,Whatcom (County),19005
4417,No,No,Yes,Yes,KS,2019-02-25 11:26:00,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2018-10-04 00:00:00,2018-10-15 23:59:00,,99003.0,Anderson (County),18128
4417,No,No,Yes,Yes,KS,2019-02-25 11:26:00,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2018-10-04 00:00:00,2018-10-15 23:59:00,,99009.0,Barton (County),18128
4417,No,No,Yes,Yes,KS,2019-02-25 11:26:00,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2018-10-04 00:00:00,2018-10-15 23:59:00,,99035.0,Cowley (County),18128
4417,No,No,Yes,Yes,KS,2019-02-25 11:26:00,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2018-10-04 00:00:00,2018-10-15 23:59:00,,99043.0,Doniphan (County),18128
4417,No,No,Yes,Yes,KS,2019-02-25 11:26:00,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2018-10-04 00:00:00,2018-10-15 23:59:00,,99073.0,Greenwood (County),18128
4417,No,No,Yes,Yes,KS,2019-02-25 11:26:00,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2018-10-04 00:00:00,2018-10-15 23:59:00,,99079.0,Harvey (County),18128
4417,No,No,Yes,Yes,KS,2019-02-25 11:26:00,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2018-10-04 00:00:00,2018-10-15 23:59:00,,99095.0,Kingman (County),18128
4417,No,No,Yes,Yes,KS,2019-02-25 11:26:00,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2018-10-04 00:00:00,2018-10-15 23:59:00,,99133.0,Neosho (County),18128
4417,No,No,Yes,Yes,KS,2019-02-25 11:26:00,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2018-10-04 00:00:00,2018-10-15 23:59:00,,99151.0,Pratt (County),18128
4417,No,No,Yes,Yes,KS,2019-02-25 11:26:00,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2018-10-04 00:00:00,2018-10-15 23:59:00,,99155.0,Reno (County),18128
4417,No,No,Yes,Yes,KS,2019-02-25 11:26:00,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2018-10-04 00:00:00,2018-10-15 23:59:00,,99159.0,Rice (County),18128
4417,No,No,Yes,Yes,KS,2019-02-25 11:26:00,DR,Severe Storm(s),"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2018-10-04 00:00:00,2018-10-15 23:59:00,,99191.0,Sumner (County),18128
4415,No,No,Yes,Yes,MS,2019-02-14 16:10:00,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADO",2018-12-27 14:34:00,2018-12-28 23:59:00,,99023.0,Clarke (County),19003
4415,No,No,Yes,Yes,MS,2019-02-14 16:10:00,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADO",2018-12-27 14:34:00,2018-12-28 23:59:00,,99031.0,Covington (County),19003
4415,No,No,Yes,Yes,MS,2019-02-14 16:10:00,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADO",2018-12-27 14:34:00,2018-12-28 23:59:00,,99035.0,Forrest (County),19003
4415,No,No,Yes,Yes,MS,2019-02-14 16:10:00,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADO",2018-12-27 14:34:00,2018-12-28 23:59:00,,99041.0,Greene (County),19003
4415,No,No,Yes,Yes,MS,2019-02-14 16:10:00,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADO",2018-12-27 14:34:00,2018-12-28 23:59:00,,99061.0,Jasper (County),19003
4415,No,No,Yes,Yes,MS,2019-02-14 16:10:00,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADO",2018-12-27 14:34:00,2018-12-28 23:59:00,,99067.0,Jones (County),19003
4415,No,No,Yes,Yes,MS,2019-02-14 16:10:00,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADO",2018-12-27 14:34:00,2018-12-28 23:59:00,,99091.0,Marion (County),19003
4415,No,No,Yes,Yes,MS,2019-02-14 16:10:00,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADO",2018-12-27 14:34:00,2018-12-28 23:59:00,,99101.0,Newton (County),19003
4415,No,No,Yes,Yes,MS,2019-02-14 16:10:00,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADO",2018-12-27 14:34:00,2018-12-28 23:59:00,,99111.0,Perry (County),19003
4415,No,No,Yes,Yes,MS,2019-02-14 16:10:00,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, AND TORNADO",2018-12-27 14:34:00,2018-12-28 23:59:00,,99153.0,Wayne (County),19003
