Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
4379,No,No,Yes,Yes,MA,2018-07-19 08:40:00,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2018-03-13 08:00:00,2018-03-14 23:59:00,,99009.0,"Essex (County)(in PMSA 1120,4160,7090)",18060
4379,No,No,Yes,Yes,MA,2018-07-19 08:40:00,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2018-03-13 08:00:00,2018-03-14 23:59:00,,99017.0,"Middlesex (County)(in (P)MSA 1120,2600,4560)",18060
4379,No,No,Yes,Yes,MA,2018-07-19 08:40:00,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2018-03-13 08:00:00,2018-03-14 23:59:00,,99021.0,"Norfolk (County)(in PMSA 1120,1200,6060)",18060
4379,No,No,Yes,Yes,MA,2018-07-19 08:40:00,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2018-03-13 08:00:00,2018-03-14 23:59:00,,99025.0,Suffolk (County),18060
4379,No,No,Yes,Yes,MA,2018-07-19 08:40:00,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2018-03-13 08:00:00,2018-03-14 23:59:00,,99027.0,"Worcester (County) (in (P)MSA 1120,2600,9240)",18060
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99003.0,Antelope (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99009.0,Blaine (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99011.0,Boone (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99015.0,Boyd (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99033.0,Cheyenne (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99035.0,Clay (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99041.0,Custer (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99049.0,Deuel (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99059.0,Fillmore (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99071.0,Garfield (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99073.0,Gosper (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99077.0,Greeley (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99079.0,Hall (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99081.0,Hamilton (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99089.0,Holt (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99093.0,Howard (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99101.0,Keith (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99107.0,Knox (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99113.0,Logan (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99115.0,Loup (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99119.0,Madison (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99121.0,Merrick (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99125.0,Nance (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99129.0,Nuckolls (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99139.0,Pierce (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99141.0,Platte (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99149.0,Rock (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99163.0,Sherman (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99175.0,Valley (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99181.0,Webster (County),18030
4375,No,No,Yes,Yes,NE,2018-06-29 12:45:00,DR,Snow,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2018-04-13 16:30:00,2018-04-18 23:59:00,,99183.0,Wheeler (County),18030
4371,No,No,Yes,Yes,NH,2018-06-08 19:15:00,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2018-03-13 08:00:00,2018-03-14 00:00:00,,99003.0,Carroll (County),18033
4371,No,No,Yes,Yes,NH,2018-06-08 19:15:00,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2018-03-13 08:00:00,2018-03-14 00:00:00,,99015.0,"Rockingham (County)(in (P)MSA 4160,4760,6450)",18033
4371,No,No,Yes,Yes,NH,2018-06-08 19:15:00,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2018-03-13 08:00:00,2018-03-14 00:00:00,,99017.0,Strafford (County),18033
4322,No,No,Yes,Yes,NY,2017-07-12 08:00:00,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2017-03-14 14:11:00,2017-03-15 23:59:00,,99001.0,Albany (County),17061
4322,No,No,Yes,Yes,NY,2017-07-12 08:00:00,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2017-03-14 14:11:00,2017-03-15 23:59:00,,99007.0,Broome (County),17061
4322,No,No,Yes,Yes,NY,2017-07-12 08:00:00,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2017-03-14 14:11:00,2017-03-15 23:59:00,,99017.0,Chenango (County),17061
4322,No,No,Yes,Yes,NY,2017-07-12 08:00:00,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2017-03-14 14:11:00,2017-03-15 23:59:00,,99019.0,Clinton (County),17061
4322,No,No,Yes,Yes,NY,2017-07-12 08:00:00,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2017-03-14 14:11:00,2017-03-15 23:59:00,,99021.0,Columbia (County),17061
4322,No,No,Yes,Yes,NY,2017-07-12 08:00:00,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2017-03-14 14:11:00,2017-03-15 23:59:00,,99023.0,Cortland (County),17061
4322,No,No,Yes,Yes,NY,2017-07-12 08:00:00,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2017-03-14 14:11:00,2017-03-15 23:59:00,,99025.0,Delaware (County),17061
4322,No,No,Yes,Yes,NY,2017-07-12 08:00:00,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2017-03-14 14:11:00,2017-03-15 23:59:00,,99027.0,Dutchess (County),17061
4322,No,No,Yes,Yes,NY,2017-07-12 08:00:00,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2017-03-14 14:11:00,2017-03-15 23:59:00,,99031.0,Essex (County),17061
4322,No,No,Yes,Yes,NY,2017-07-12 08:00:00,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2017-03-14 14:11:00,2017-03-15 23:59:00,,99033.0,Franklin (County),17061
4322,No,No,Yes,Yes,NY,2017-07-12 08:00:00,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2017-03-14 14:11:00,2017-03-15 23:59:00,,99035.0,Fulton (County),17061
4322,No,No,Yes,Yes,NY,2017-07-12 08:00:00,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2017-03-14 14:11:00,2017-03-15 23:59:00,,99039.0,Greene (County),17061
4322,No,No,Yes,Yes,NY,2017-07-12 08:00:00,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2017-03-14 14:11:00,2017-03-15 23:59:00,,99041.0,Hamilton (County),17061
4322,No,No,Yes,Yes,NY,2017-07-12 08:00:00,DR,Snow,SEVERE WINTER STORM AND SNOWSTORM,2017-03-14 14:11:00,2017-03-15 23:59:00,,99043.0,Herkimer (County),17061
