Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
4419,Yes,No,Yes,Yes,AL,2019-03-05 17:33:00,DR,Tornado,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",2019-03-03 00:01:00,2019-03-03 23:59:00,,99081.0,Lee (County),19006
4385,No,No,Yes,Yes,CT,2018-08-20 12:01:00,DR,Tornado,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS ",2018-05-15 00:00:00,2018-05-15 00:00:00,,99001.0,"Fairfield (County)(in PMSA 1160,1930,5760,8040)",18063
4385,No,No,Yes,Yes,CT,2018-08-20 12:01:00,DR,Tornado,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS ",2018-05-15 00:00:00,2018-05-15 00:00:00,,99009.0,"New Haven (County)(in (P)MSA 1160,5480,8880)",18063
4324,No,No,Yes,Yes,OK,2017-07-25 19:00:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-05-16 10:08:00,2017-05-20 23:59:00,,99003.0,Alfalfa (County),17071
4324,No,No,Yes,Yes,OK,2017-07-25 19:00:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-05-16 10:08:00,2017-05-20 23:59:00,,99009.0,Beckham (County),17071
4324,No,No,Yes,Yes,OK,2017-07-25 19:00:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-05-16 10:08:00,2017-05-20 23:59:00,,99021.0,Cherokee (County),17071
4324,No,No,Yes,Yes,OK,2017-07-25 19:00:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-05-16 10:08:00,2017-05-20 23:59:00,,99029.0,Coal (County),17071
4324,No,No,Yes,Yes,OK,2017-07-25 19:00:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-05-16 10:08:00,2017-05-20 23:59:00,,99033.0,Cotton (County),17071
4324,No,No,Yes,Yes,OK,2017-07-25 19:00:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-05-16 10:08:00,2017-05-20 23:59:00,,99041.0,Delaware (County),17071
4324,No,No,Yes,Yes,OK,2017-07-25 19:00:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-05-16 10:08:00,2017-05-20 23:59:00,,99069.0,Johnston (County),17071
4324,No,No,Yes,Yes,OK,2017-07-25 19:00:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-05-16 10:08:00,2017-05-20 23:59:00,,99079.0,Le Flore (County),17071
4324,No,No,Yes,Yes,OK,2017-07-25 19:00:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-05-16 10:08:00,2017-05-20 23:59:00,,99099.0,Murray (County),17071
4324,No,No,Yes,Yes,OK,2017-07-25 19:00:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-05-16 10:08:00,2017-05-20 23:59:00,,99101.0,Muskogee (County),17071
4324,No,No,Yes,Yes,OK,2017-07-25 19:00:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-05-16 10:08:00,2017-05-20 23:59:00,,99107.0,Okfuskee (County),17071
4324,No,No,Yes,Yes,OK,2017-07-25 19:00:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-05-16 10:08:00,2017-05-20 23:59:00,,99111.0,Okmulgee (County),17071
4324,No,No,Yes,Yes,OK,2017-07-25 19:00:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-05-16 10:08:00,2017-05-20 23:59:00,,99121.0,Pittsburg (County),17071
4324,No,No,Yes,Yes,OK,2017-07-25 19:00:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-05-16 10:08:00,2017-05-20 23:59:00,,99123.0,Pontotoc (County),17071
4324,No,No,Yes,Yes,OK,2017-07-25 19:00:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-05-16 10:08:00,2017-05-20 23:59:00,,99129.0,Roger Mills (County),17071
4324,No,No,Yes,Yes,OK,2017-07-25 19:00:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-05-16 10:08:00,2017-05-20 23:59:00,,99149.0,Washita (County),17071
4300,Yes,No,No,Yes,LA,2017-02-11 14:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",2017-02-07 00:01:00,2017-02-07 23:59:00,,99063.0,Livingston (Parish),17011
4300,Yes,No,No,Yes,LA,2017-02-11 14:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",2017-02-07 00:01:00,2017-02-07 23:59:00,,99071.0,Orleans (Parish),17011
4297,Yes,No,Yes,Yes,GA,2017-01-26 11:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-21 00:00:00,2017-01-22 23:59:00,,99001.0,Appling (County),17007
4297,Yes,No,Yes,Yes,GA,2017-01-26 11:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-21 00:00:00,2017-01-22 23:59:00,,99007.0,Baker (County),17007
4297,Yes,No,Yes,Yes,GA,2017-01-26 11:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-21 00:00:00,2017-01-22 23:59:00,,99019.0,Berrien (County),17007
4297,Yes,No,Yes,Yes,GA,2017-01-26 11:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-21 00:00:00,2017-01-22 23:59:00,,99025.0,Brantley (County),17007
4297,Yes,No,Yes,Yes,GA,2017-01-26 11:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-21 00:00:00,2017-01-22 23:59:00,,99027.0,Brooks (County),17007
4297,Yes,No,Yes,Yes,GA,2017-01-26 11:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-21 00:00:00,2017-01-22 23:59:00,,99031.0,Bulloch (County),17007
4297,Yes,No,Yes,Yes,GA,2017-01-26 11:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-21 00:00:00,2017-01-22 23:59:00,,99037.0,Calhoun (County),17007
4297,Yes,No,Yes,Yes,GA,2017-01-26 11:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-21 00:00:00,2017-01-22 23:59:00,,99061.0,Clay (County),17007
4297,Yes,No,Yes,Yes,GA,2017-01-26 11:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-21 00:00:00,2017-01-22 23:59:00,,99071.0,Colquitt (County),17007
4297,Yes,No,Yes,Yes,GA,2017-01-26 11:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-21 00:00:00,2017-01-22 23:59:00,,99075.0,Cook (County),17007
4297,Yes,No,Yes,Yes,GA,2017-01-26 11:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-21 00:00:00,2017-01-22 23:59:00,,99081.0,Crisp (County),17007
4297,Yes,No,Yes,Yes,GA,2017-01-26 11:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-21 00:00:00,2017-01-22 23:59:00,,99095.0,Dougherty (County),17007
4297,Yes,No,Yes,Yes,GA,2017-01-26 11:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-21 00:00:00,2017-01-22 23:59:00,,99101.0,Echols (County),17007
4297,Yes,No,Yes,Yes,GA,2017-01-26 11:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-21 00:00:00,2017-01-22 23:59:00,,99185.0,Lowndes (County),17007
4297,Yes,No,Yes,Yes,GA,2017-01-26 11:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-21 00:00:00,2017-01-22 23:59:00,,99237.0,Putnam (County),17007
4297,Yes,No,Yes,Yes,GA,2017-01-26 11:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-21 00:00:00,2017-01-22 23:59:00,,99243.0,Randolph (County),17007
4297,Yes,No,Yes,Yes,GA,2017-01-26 11:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-21 00:00:00,2017-01-22 23:59:00,,99267.0,Tattnall (County),17007
4297,Yes,No,Yes,Yes,GA,2017-01-26 11:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-21 00:00:00,2017-01-22 23:59:00,,99275.0,Thomas (County),17007
4297,Yes,No,Yes,Yes,GA,2017-01-26 11:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-21 00:00:00,2017-01-22 23:59:00,,99287.0,Turner (County),17007
4297,Yes,No,Yes,Yes,GA,2017-01-26 11:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-21 00:00:00,2017-01-22 23:59:00,,99293.0,Upson (County),17007
4297,Yes,No,Yes,Yes,GA,2017-01-26 11:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-21 00:00:00,2017-01-22 23:59:00,,99299.0,Ware (County),17007
4297,Yes,No,Yes,Yes,GA,2017-01-26 11:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-21 00:00:00,2017-01-22 23:59:00,,99315.0,Wilcox (County),17007
4297,Yes,No,Yes,Yes,GA,2017-01-26 11:30:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-21 00:00:00,2017-01-22 23:59:00,,99321.0,Worth (County),17007
4295,Yes,No,Yes,Yes,MS,2017-01-25 14:35:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-20 00:00:00,2017-01-21 00:00:00,,99035.0,Forrest (County),17006
4295,Yes,No,Yes,Yes,MS,2017-01-25 14:35:00,DR,Tornado,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2017-01-20 00:00:00,2017-01-21 00:00:00,,99073.0,Lamar (County),17006
