Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
4404,Yes,No,Yes,Yes,MP,2018-10-26 18:20:00,DR,Typhoon,SUPER TYPHOON YUTU,2018-10-24 17:00:00,2018-10-26 23:59:00,,99085.0,Northern Islands (Municipality),18119
4404,Yes,No,Yes,Yes,MP,2018-10-26 18:20:00,DR,Typhoon,SUPER TYPHOON YUTU,2018-10-24 17:00:00,2018-10-26 23:59:00,,99100.0,Rota (Municipality),18119
4404,Yes,No,Yes,Yes,MP,2018-10-26 18:20:00,DR,Typhoon,SUPER TYPHOON YUTU,2018-10-24 17:00:00,2018-10-26 23:59:00,,99110.0,Saipan (Municipality),18119
4404,Yes,No,Yes,Yes,MP,2018-10-26 18:20:00,DR,Typhoon,SUPER TYPHOON YUTU,2018-10-24 17:00:00,2018-10-26 23:59:00,,99120.0,Tinian (Municipality),18119
3408,No,No,Yes,No,MP,2018-10-23 17:00:00,EM,Typhoon,TYPHOON YUTU,2018-10-24 00:00:00,2018-10-26 23:59:00,,99085.0,Northern Islands (Municipality),18118
3408,No,No,Yes,No,MP,2018-10-23 17:00:00,EM,Typhoon,TYPHOON YUTU,2018-10-24 00:00:00,2018-10-26 23:59:00,,99100.0,Rota (Municipality),18118
3408,No,No,Yes,No,MP,2018-10-23 17:00:00,EM,Typhoon,TYPHOON YUTU,2018-10-24 00:00:00,2018-10-26 23:59:00,,99110.0,Saipan (Municipality),18118
3408,No,No,Yes,No,MP,2018-10-23 17:00:00,EM,Typhoon,TYPHOON YUTU,2018-10-24 00:00:00,2018-10-26 23:59:00,,99120.0,Tinian (Municipality),18118
4398,No,No,Yes,Yes,GU,2018-10-01 17:10:00,DR,Typhoon,TYPHOON MANGKHUT,2018-09-10 07:00:00,2018-09-11 23:59:59,,99010.0,Guam (County-equivalent),18107
4396,Yes,No,Yes,Yes,MP,2018-09-29 13:15:00,DR,Typhoon,TYPHOON MANGKHUT,2018-09-10 07:00:00,2018-09-11 23:59:00,,99100.0,Rota (Municipality),18106
4396,Yes,No,Yes,Yes,MP,2018-09-29 13:15:00,DR,Typhoon,TYPHOON MANGKHUT,2018-09-10 07:00:00,2018-09-11 23:59:00,,99110.0,Saipan (Municipality),18106
